X,Y,Z,MaximumInscribedSphereRadius
31.3674907684,9.25214004517,37.8466911316,2.56032708639
31.4335823059,9.31800556183,37.8105010986,2.55742302279
31.4961585999,9.38623428345,37.7725906372,2.55413697036
31.5559501648,9.45706748962,37.7351303101,2.54724784597
31.6086559296,9.53227424622,37.6952705383,2.53832425508
31.6621055603,9.60549068451,37.6529197693,2.5308037774
31.7091426849,9.68310451508,37.610912323,2.52033613873
31.7583465576,9.76079082489,37.5715293884,2.51207785708
31.8118972778,9.83744335175,37.5358657837,2.50582764568
31.868024826,9.91355323792,37.5036239624,2.50100858539
31.9248275757,9.99188423157,37.4777374268,2.49731150692
31.9781951904,10.071554184,37.4492263794,2.49544658596
32.0315132141,10.1510324478,37.420124054,2.49451983292
32.0847816467,10.2303695679,37.3904304504,2.49545638247
